Study_No,Study_ID,Arm_ID,Year,Drug,No_randomised,WeightContM,WeightContSD,WeightContN,WeightContChangeEndpoint,WeightGainSDOrigin,ProlactinM,ProlactinSD,ProlactinN,ProlactinChangeEndpoint,ProlactinSDOrigin,QTcM,QTcSD,QTcN,QTcChangeEndpoint,QTcSDOrigin,FullStudyName,corr_auth,corr_auth_email,other_email,answer_after_1_mail,bibkey
104,Clark 1975a,195,1975,Placebo,13,,,,,,,,,,,,,,,,"Clark ML, Paredes A, Costiloe JP, Wood F, Barrett A. Loxapine in newly admitted chronic schizophrenic patients. Journal of clinical Pharmacology 1975",,,keine Kontakte auffindbar,,Clark1975
104,Clark 1975a,196,1975,Trifluoperazine,15,,,,,,,,,,,,,,,,,,,,,Clark1975
104,Clark 1975b,195,1975,Placebo,13,,,,,,,,,,,,,,,,"Clark ML, Paredes A, Costiloe JP, Wood F, Barrett A. Loxapine in newly admitted chronic schizophrenic patients. Journal of clinical Pharmacology 1975",,,keine Kontakte auffindbar,,Clark1975
104,Clark 1975b,194,1975,Loxapine,15,,,,,,,,,,,,,,,,,,,,,Clark1975
583,Chouinard 1975,2306,1975,Placebo,24,,,,,,,,,,,,,,,,"Chouinard G, Annable L, Serrano M, Albert JM, Charette R. Amitriptyline-perphenazine interaction in ambulatory schizophrenic patients. A controled study of drug interaction. Archives of General Psychiatry 1975",,,keine Kontakte auffindbar,,Chouinard1975
583,Chouinard 1975,2307,1975,Perphenazine,24,,,,,,,,,,,,,,,,,,,,,Chouinard1975
922,van der Velde 1975a,3067,1975,Placebo,28,,,,,,,,,,,,,,,,"van der Velde, C. D., Kiltie H. Effectiveness of loxapine succinate in acute schizophrenia: A comparative study with thiothixene. Current Therapeutic Research, clinical & Experimental 1975",,,Erstautor verstorben,,VanDerVelde1975
922,van der Velde 1975a,3068,1975,Thiothixene,28,,,,,,,,,,,,,,,,,,,,,VanDerVelde1975
922,van der Velde 1975b,3067,1975,Placebo,28,,,,,,,,,,,,,,,,"van der Velde, C. D., Kiltie H. Effectiveness of loxapine succinate in acute schizophrenia: A comparative study with thiothixene. Current Therapeutic Research, clinical & Experimental 1975",,,Erstautor verstorben,,VanDerVelde1975
922,van der Velde 1975b,3066,1975,Loxapine,26,,,,,,,,,,,,,,,,,,,,,VanDerVelde1975
71,"Charalampous 1974, 00559a",159,1974,Thiothixene,21,,,,,,,,,,,,,,,,"Charalampous KD, Freemesser GF, Malev J, Ford K. Loxapine succinate: A controlled double-blind study in schizophrenia. Current Therapeutic Research, clinical & Experimental 1974",Professor Charalampous,kdxmd@hal-pc.org,,meldet sich noch,Charalampous1974
71,"Charalampous 1974, 00559a",158,1974,Placebo,19,,,,,,,,,,,,,,,,,,,,,Charalampous1974
71,"Charalampous 1974, 00559b",157,1974,Loxapine,20,,,,,,,,,,,,,,,,,,,,,Charalampous1974
71,"Charalampous 1974, 00559b",158,1974,Placebo,19,,,,,,,,,,,,,,,,,,,,,Charalampous1974
823,"Nistico 1974,",2817,1974,Placebo,20,,,,,,,,,,,,,,,,"Nistico G, Ragozzine D, Marano V. A comparative study of penfluridol and flupentixol in the treatment of chronic schizophrenia. Journal of clinical Pharmacology 1974",Professor Nistico,nistico@ebri.it,,,Nistico1974
823,"Nistico 1974,",2818,1974,Penfluridol,20,,,,,,,,,,,,,,,,,,,,,Nistico1974
226,Judd 1973,463,1973,Thioridazine,12,,,,,,,,,,,,,,,,"Judd LL, Goldstein MJ, Rodnick EH. Phenothiazine effects in good premorbid schizophrenics divided into paranoid nonparanoid status. Archives of General Psychiatry 1973",,,Erstautor verstorben,,Judd1973
226,Judd 1973,462,1973,Placebo,12,,,,,,,,,,,,,,,,,,,,,Judd1973
246,Klein 1973,508,1973,Placebo,42,,,,,,,,,,,,,,,,"Klein DF, Rosen B. Premorbid asocial adjustment and response to phenothiazine treatment among schizophrenic inpatients. Archives of General Psychiatry 1973",,,Erstautor verstorben,,Klein1973
246,Klein 1973,507,1973,Chlorpromazine,46,,,,,,,,,,,,,,,,,,,,,Klein1973
88,Serafetinides 1972a,852,1972,Chlorpromazine,14,,,,,,,,,,,,,,,,"Serafetinides EA, Willis D, Clark ML. Haloperidol, clopenthixol, and chlorpromazine in chronic schizophrenia. Journal of Nervous & Mental Disease 1972",,,keine Kontakte auffindbar,,Serafetinides1972
88,Serafetinides 1972a,854,1972,Placebo,14,,,,,,,,,,,,,,,,,,,,,Serafetinides1972
88,Serafetinides 1972b,851,1972,Clopenthixol,15,,,,,,,,,,,,,,,,,,,,,Serafetinides1972
88,Serafetinides 1972b,854,1972,Placebo,14,,,,,,,,,,,,,,,,,,,,,Serafetinides1972
88,Serafetinides 1972c,853,1972,Haloperidol,14,,,,,,,,,,,,,,,,,,,,,Serafetinides1972
88,Serafetinides 1972c,854,1972,Placebo,14,,,,,,,,,,,,,,,,,,,,,Serafetinides1972
174,Goldberg 1972,348,1972,Chlorpromazine,,,,,,,,,,,,,,,,,"Goldberg SC, Frosch WA, Drossman AK, Schooler NR, Johnson GF. Prediction of response to phenothiazines in schizophrenia. A crossvalidation study. Archives of General Psychiatry 1972",,,Erstautor verstorben,,Goldberg1972
174,Goldberg 1972,349,1972,Placebo,,,,,,,,,,,,,,,,,,,,,,Goldberg1972
315,Menon 1972,665,1972,Placebo,20,,,,,,,,,,,,,,,,"Menon MS, Ramachandran V. A controlled clinical trial of trifluperidol on a group of chronic schizophrenic patients. Current Therapeutic Research, clinical & Experimental 1972",Dr Menon,surajmenonm@gmail.com,,,Menon1972
315,Menon 1972,666,1972,Trifluoperazine,20,,,,,,,,,,,,,,,,,,,,,Menon1972
658,Evans 1972,2442,1972,Placebo,27,,,,,,,,,,,,,,,,"Evans JR, Rodnick EH, Goldstein MJ, Judd LL. Premorbid adjustment, phenothiazine treatment, and remission in acute schizophrenics. Archives of General Psychiatry 1972",,,beide Autoren verstorben,,Evans1972
658,Evans 1972,2443,1972,Thioridazine,27,,,,,,,,,,,,,,,,,,,,,Evans1972
2291,Mezquita 1972,6573,1972,Placebo,43,,,,,,,,,,,,,,,,"Mezquita Blanco J, Cubillo Sanchez J, Aizpiri Diaz J, Zubia Zubia B. [clinical trial with sulpiride and placebo in chronic schizophrenics (study of 89 patients using the harris-letemendia-willems scale)]. Archivos de Neurobiologia 1972",,,keine Kontakte auffindbar,,Mezquita1972
2291,Mezquita 1972,6574,1972,Sulpiride,46,,,,,,,,,,,,,,,,,,,,,Mezquita1972
83,Clark 1971a,190,1971,Thioridazine,22,,,,,,,,,,,,,,,,"Clark ML, Huber WK, Charalampous KD, Serafetinides EA, Trousdale W, Colmore JP. Drug treatment in newly admitted schizophrenic patients. Archives of General Psychiatry 1971",,,keine Kontakte auffindbar,,Clark1971
83,Clark 1971a,189,1971,Placebo,21,,,,,,,,,,,,,,,,,,,,,Clark1971
83,Clark 1971b,188,1971,Fluphenazine,20,,,,,,,,,,,,,,,,,,,,,Clark1971
83,Clark 1971b,189,1971,Placebo,21,,,,,,,,,,,,,,,,,,,,,Clark1971
83,Clark 1971c,187,1971,Chlorpromazine,23,,,,,,,,,,,,,,,,,,,,,Clark1971
83,Clark 1971c,189,1971,Placebo,21,,,,,,,,,,,,,,,,,,,,,Clark1971
928,Vichaya 1971,3079,1971,Haloperidol,15,,,,,,,,,,,,,,,,Vichaiya V. clinical trial of haloperidol in schizophrenia. Journal of Psychiatric Association of Thailand 1971,,,keine Kontakte auffindbar,,Vichaiya1971
928,Vichaya 1971,3080,1971,Placebo,15,,,,,,,,,,,,,,,,,,,,,Vichaiya1971
591,Clark 1970b,2327,1970,Molindone,15,,,,,,,,,,,,,,,,,,,,,Clark1970
80,Clark 1969a,181,1969,Placebo,16,,,,,,,,,,,,,,,,Clark. Haloperidol versus chlorpromazine versus placebo: Psychopharmacology bulletin. 1969,,,keine Kontakte auffindbar,,"Clark1969,"
80,Clark 1969a,180,1969,Haloperidol,14,,,,,,,,,,,,,,,,,,,,,"Clark1969,"
80,Clark 1969b,181,1969,Placebo,16,,,,,,,,,,,,,,,,Clark. Haloperidol versus chlorpromazine versus placebo: Psychopharmacology bulletin. 1969,,,keine Kontakte auffindbar,,"Clark1969,"
80,Clark 1969b,179,1969,Chlorpromazine,14,,,,,,,,,,,,,,,,,,,,,"Clark1969,"
429,Tetreault 1969a,964,1969,Chlorpromazine,15,,,,,,,,,,,,,,,,"Tetreault L, Bordeleau JM, Gauthier R, Vulpe M, Lapointe L. Comparative study of tps-23, chlorpromazine and placebo in chronic schizophrenic patients. Diseases of the Nervous System 1969",,,"keine Kontakte auffindbar, Letztautor verstorben",,Tetreault1969
429,Tetreault 1969a,965,1969,Placebo,15,,,,,,,,,,,,,,,,,,,,,Tetreault1969
655,"Engelhardt 1969, 03748",2435,1969,Chlorpromazine,103,,,,,,,,,,,,,,,,"Engelhardt DM, Margolis RA, Rudorfer L, Paley HM. Physician bias and the double-blind. Archives of General Psychiatry 1969",,,Erstautor verstorben,,Engelhardt1969
655,"Engelhardt 1969, 03748",2436,1969,Placebo,99,,,,,,,,,,,,,,,,,,,,,Engelhardt1969
3294,Kordas 1968a,8845,1968,Chlorpromazine,18,,,,,,,,,,,,,,,,"Kordas SK, Kazamias NG, Georgas JG, Papadokostakis JG. Clopenthixol: A controlled trial in chronic hospitalized schizophrenic patients. British Journal of Psychiatry 1968",,,keine Kontakte auffindbar,,Kordas1968
3294,Kordas 1968a,9092,1968,Placebo,18,,,,,,,,,,,,,,,,,,,,,Kordas1968
3294,Kordas 1968b,8989,1968,Clopenthixol,18,,,,,,,,,,,,,,,,,,,,,Kordas1968
3294,Kordas 1968b,9092,1968,Placebo,18,,,,,,,,,,,,,,,,,,,,,Kordas1968
77,Clark 1967,171,1967,Chlorpromazine,51,,,,,,,,,,,,,,,,"Clark ML, Ray TS, Paredes A et al. Chlorpromazine in women with chronic schizophrenia: The effect on cholesterol levels and cholesterol-behavior relationships. Psychosomatic Medicine 1967",,,keine Kontakte auffindbar,,Clark1967
77,Clark 1967,172,1967,Placebo,21,,,,,,,,,,,,,,,,,,,,,Clark1967
390,Saretsky 1966,826,1966,Chlorpromazine,20,,,,,,,,,,,,,,,,Saretsky T. Effects of chlorpromazine on primary-process thought manifestations. Journal of Abnormal Psychology 1966,,,keine Kontakte auffindbar,,Saretsky1966
390,Saretsky 1966,827,1966,Placebo,20,,,,,,,,,,,,,,,,,,,,,Saretsky1966
857,Reardon 1966a,2891,1966,Chlorpromazine,11,,,,,,,,,,,,,,,,"Reardon JD, Abrams S. Acute paranoid schizophrenia. (Treatment with chlorpromazine, trifluoperazine and placebo). Diseases of the Nervous System 1966",,,keine Kontakte auffindbar,,Reardon1966
857,Reardon 1966a,2892,1966,Placebo,12,,,,,,,,,,,,,,,,,,,,,Reardon1966
857,Reardon 1966b,2893,1966,Trifluoperazine,11,,,,,,,,,,,,,,,,,,,,,Reardon1966
857,Reardon 1966b,2892,1966,Placebo,12,,,,,,,,,,,,,,,,,,,,,Reardon1966
42,Bishop 1964,95,1964,Placebo,14,,,,,,,,,,,,,,,,Bishop MPGDM. Behavioral toxicity associated with benzquinamide (quantril) therapy in schizophrenic patients: American journal of psychiatry. 1963,Professor Gallant,dgallant@uthsc.edu,,,Bishop1964
42,Bishop 1964,96,1964,Trifluoperazine,14,,,,,,,,,,,,,,,,,,,,,Bishop1964
41,Bishop 1963c,92,1963,Chlorpromazine,10,,,,,,,,,,,,,,,,,,,,,Bishop1963
41,Bishop 1963c,93,1963,Placebo,10,,,,,,,,,,,,,,,,,,,,,Bishop1963
668,Gallant 1963,2462,1963,Chlorpromazine,,,,,,,,,,,,,,,,,"Gallant DM, Bishop MP. Molindone: A controlled evaluation in chronic schizophrenic patients. Current Therapeutic Research, clinical & Experimental 1968",Professor Gallant,dgallant@uthsc.edu,,,Gallant1963
668,Gallant 1963,2463,1963,Placebo,,,,,,,,,,,,,,,,,,,,,,Gallant1963
672,Garry 1962b,2472,1962,Placebo,26,,,,,,,,,,,,,,,,"Garry JW, Leonard TJ. Haloperidol: A controlled trial in chronic schizophrenia. J Ment Sci 1962",,,keine Kontakte auffindbar,,Garry1962
672,Garry 1962b,2471,1962,Haloperidol,26,,,,,,,,,,,,,,,,,,,,,Garry1962
261,Kurland 1961a,540,1961,Placebo,37,,,,,,,,,,,,,,,,"Kurland AA, Hanlon TE, Tatom MH, Ota KY, Simopoulos AM. The comparative effectiveness of six phenothiazine compounds, phenobarbital and intert placebo in the treatment of acutely ill patients: Global measures of severity of illness: Journal of nervous and mental disease. 1961",,,Erstautor verstorben,,Kurland1961
261,Kurland 1961a,538,1961,Chlorpromazine,33,,,,,,,,,,,,,,,,,,,,,Kurland1961
261,Kurland 1961b,540,1961,Placebo,37,,,,,,,,,,,,,,,,"Kurland AA, Hanlon TE, Tatom MH, Ota KY, Simopoulos AM. The comparative effectiveness of six phenothiazine compounds, phenobarbital and intert placebo in the treatment of acutely ill patients: Global measures of severity of illness: Journal of nervous and mental disease. 1961",,,Erstautor verstorben,,Kurland1961
261,Kurland 1961b,541,1961,Perphenazine,36,,,,,,,,,,,,,,,,,,,,,Kurland1961
770,Levita 1961,2693,1961,Placebo,9,,,,,,,,,,,,,,,,Levita E. Effects of chlorpromazine and promazine on perseveration. Journal of General Psychology 1961,,,keine Kontakte auffindbar,,Levita1961
770,Levita 1961,2692,1961,Chlorpromazine,13,,,,,,,,,,,,,,,,,,,,,Levita1961
2280,Howell 1961a,6549,1961,Fluphenazine,,,,,,,,,,,,,,,,,,,,,,Howell1961
2280,Howell 1961a,6550,1961,Placebo,,,,,,,,,,,,,,,,,"Howell RJ, Brown, H. M., Jr., Beaghler HE. A comparison of fluphenazine, trifluoperazine and a placebo in the context of an active treatment unit. J Nerv Ment Dis 1961",,,keine Kontakte auffindbar,,Howell1961
2280,Howell 1961b,6551,1961,Trifluoperazine,,,,,,,,,,,,,,,,,,,,,,Howell1961
2280,Howell 1961b,6550,1961,Placebo,,,,,,,,,,,,,,,,,"Howell RJ, Brown, H. M., Jr., Beaghler HE. A comparison of fluphenazine, trifluoperazine and a placebo in the context of an active treatment unit. J Nerv Ment Dis 1961",,,keine Kontakte auffindbar,,Howell1961
575,Casey 1960,2211,1960,Placebo,178,,,,,,,,,,,,,,,,"Casey JF, Bennett IF, Lindley CJ, Hollister LE, Gordon MH, Springer NN. Drug therapy in schizophrenia. A controlled study of the relative effectiveness of chlorpromazine, promazine, phenobarbital, and placebo. AMA Arch Gen Psychiatry 1960",,,keine Kontakte auffindbar,,Casey1960
575,Casey 1960,2210,1960,Chlorpromazine,170,,,,,,,,,,,,,,,,,,,,,Casey1960
830,Payne 1960,2832,1960,Chlorpromazine,7,,,,,,,,,,,,,,,,"Payne P. A comparison of trifluopromazine, chlorpromazine, and a placebo in twenty-one chronic schizophrenic patients. 1960",,,keine Kontakte auffindbar,,Payne1960
830,Payne 1960,2833,1960,Placebo,7,,,,,,,,,,,,,,,,,,,,,Payne1960
872,Sandison 1960,2761,1960,Thioridazine,8,,,,,,,,,,,,,,,,Sandison RAWECJDC. clinical trials with melleril (tp21) in the treatment of schizophrenia. A two-year study: Journal of mental science. 1960,,,Erstautor versotrben; keine Kontakte auffindbar,,Sandison1960
872,Sandison 1960,2760,1960,Placebo,7,,,,,,,,,,,,,,,,,,,,,Sandison1960
536,Baker 1959,2236,1959,Chlorpromazine,7,,,,,,,,,,,,,,,,Baker JP. A controlled trial of ethylcrotonylurea. JMentSci 1959,,,keine Kontakte auffindbar,,Baker1959
536,Baker 1959,2237,1959,Placebo,8,,,,,,,,,,,,,,,,,,,,,Baker1959
666,Fleming 1959,2458,1959,Chlorpromazine,12,,,,,,,,,,,,,,,,"Fleming BG, Spencer AM, Whitelaw EM. A controlled comparative investigation of the effects of promazine, chlorpromazine, and a placebo in chronic psychosis. J Ment Sci 1959",,,keine Kontakte auffindbar,,Fleming1959
666,Fleming 1959,2459,1959,Placebo,12,,,,,,,,,,,,,,,,,,,,,Fleming1959
742,King 1959,2635,1959,Placebo,24,,,,,,,,,,,,,,,,King PDWW. Comparison of proclorperazine and chlorpromazine in hospitalized chronic schizophrenics: American journal of psychiatry. 1959,,,beide Autoren verstorben,,King1959
742,King 1959,2634,1959,Chlorpromazine,24,,,,,,,,,,,,,,,,,,,,,King1959
933,Walsh 1959,3092,1959,Placebo,22,,,,,,,,,,,,,,,,"Walsh GP, Walton D, Black DA. The relative efficacy of Vespral and chlorpromazine in the treatment of a group of chronic schizophrenic patients. British Journal of Psychiatry 1959",,,keine Kontakte auffindbar,,Walsh1959
933,Walsh 1959,3091,1959,Chlorpromazine,22,,,,,,,,,,,,,,,,,,,,,Walsh1959
2276,Haug 1959,6541,1959,Placebo,,,,,,,,,,,,,,,,,Haug JO. [A controlled clinical trial of thioridazine (melleril); a new phenothiazine derivative]. Tidsskrift for Den Norske Laegeforening 1959,,,keine Kontakte auffindbar,,Haug1959
2276,Haug 1959,6542,1959,Thioridazine,,,,,,,,,,,,,,,,,,,,,,Haug1959
281,Little 1958,592,1958,Chlorpromazine,,,,,,,,,,,,,,,,,"Little JC. A double-blind controlled comparison of the effects of chlorpromazine, barbiturate and a placebo in 142 chronic psychotic in-patients. Journal of Mental Science 1958",,,keine Kontakte auffindbar,,Little1958
281,Little 1958,593,1958,Placebo,,,,,,,,,,,,,,,,,,,,,,Little1958
3488,Fleming 1958,9236,1958,Chlorpromazine,,,,,,,,,,,,,,,,,"Fleming B, Currie J. Investigation of a new compound, b.w.203, and of chlorpromazine in the treatment of psychosis: Journal-of-mental-science-(br-j-psychiatry-from-1963). 1968",,,keine Kontakte auffindbar,,Fleming1958
3488,Fleming 1968,9266,1958,Placebo,,,,,,,,,,,,,,,,,,,,,,Fleming1958
602,"Sheperd 1956, 01660",2967,1956,Placebo,8,,,,,,,,,,,,,,,,"Shepherd M, Watt DC. A controlled clinical study of chlorpromazine and reserpine in chronic schizophrenia: Journal of neurochemistry. 1956",,,keine Kontakte auffindbar,,Shepherd1956
602,"Sheperd 1956, 01660",2966,1956,Chlorpromazine,8,,,,,,,,,,,,,,,,,,,,,Shepherd1956
688,Hall 1955,2496,1955,Chlorpromazine,87,,,,,,,,,,,,,,,,Hall RADDJ. A study of chlorpromazine: Methodology and results with chronic semi-disturbed schizophrenics: Journal of nervous and mental disease. 1955,,,beide Autoren verstorben,,Hall1955
688,Hall 1955,2515,1955,Placebo,88,,,,,,,,,,,,,,,,,,,,,Hall1955
